,Construction & immobilier,Finance,Industrie,Info-com,Primaires & énergie,Public & services non-marchands,Services,Services pro
2015-01-01,0.2836672137338496,-0.5904526094334526,-0.09364005957479171,-0.22655834153061255,0.22383772108437028,-0.3413144050840907,0.10198845009040058,-0.2636855626219532
2015-04-01,0.2871732482825994,-0.37752733625742196,-0.33436510605068637,-0.7110471700668048,-0.1428964127618395,-0.0030978005008940324,0.0826429820850405,0.21376564994026803
2015-07-01,-1.2071778276592657,0.033281179456906895,0.057269816035664334,-0.8411988938655732,0.030949121791014944,0.3789286608014154,0.08607975203540108,0.5248009136154446
2015-10-01,1.0500110095120203,0.09874418738351681,-0.20781548224876026,-0.12433277993361158,-0.384977015397747,0.6019397519566845,-0.18370424181811984,-0.5605748643908632
2016-01-01,1.0065902469252994,-0.3098083922035463,-0.3628300350663768,-0.27478467489367603,-1.2050579133554629,0.8684777440853385,-0.7544687922758437,-0.20339611136250269
2016-04-01,1.3585486720379254,0.4402795982524918,-0.4977277314212874,0.32057083941412623,-0.6483013622134193,-0.10343170853412492,-0.2862841251292203,-0.8198238775246749
2016-07-01,0.4081216195263848,0.340227430606595,0.13329620997925873,-0.011086693152093985,-0.03240501876575297,-0.7807763267738682,0.2280312608141099,0.12032918005157933
2016-10-01,0.0959714927128405,-0.3709143714766042,0.40163321108279515,0.27295804283701286,0.6797936328182635,-0.5654849561857392,0.039135130414162056,0.17263628730327696
2017-01-01,-0.7915831946130824,-0.0795777500182221,0.087382455632799,0.06428540865777771,0.6853405579010453,-0.21524794888611848,0.4216228945593919,-0.10685343787979651
2017-04-01,-0.723856879204372,-0.4108784793127904,0.4097814105109223,0.23997376294460263,0.9784127009151344,-0.22695850311646393,0.5594815004936337,-0.08135847544616848
2017-07-01,-0.5957288496312431,-0.4283585637940628,0.24220841509898328,0.1705496187057281,0.25532771393519194,-0.10538912302396287,-0.09933031088491825,0.4031383359400739
2017-10-01,-0.11816009473899614,0.27987811748501296,0.057938781217831054,0.32479264367157196,-0.5376836422286798,0.31400667885571143,0.027505054806921225,0.9546830621774242
2018-01-01,-0.31518961347509133,-0.19517317062866096,0.03300772886415092,-0.1594796002500856,-0.057507142199062056,0.03727248465875038,-0.29268568879643275,0.8362951791994933
2018-04-01,-0.19611115925029154,0.3174304488805609,0.15563346589526095,0.45817033902428805,-0.02435073342328123,0.24348973985260944,0.2317373319519072,-0.10173001676809446
2018-07-01,-0.28265397172206863,1.2692353641369674,0.1481290086364535,0.4705627677811202,0.29681794573862097,0.2483048096749627,0.08642180830017335,0.21325794469851767
2018-10-01,-0.3530635902887625,0.3730743552606669,-0.11592548403405162,-0.3650528780646686,-0.24364368597306763,0.3722680420865573,0.1557386372573346,0.0803610286281573
2019-01-01,-1.2413289090671957,-0.15548377401602886,-0.136447846831387,-0.3474743223775383,0.23428007939020667,-0.550575447798549,-0.1156838146503063,-0.3258113563897409
2019-04-01,-0.0864657513652109,-0.504482772446434,0.05128372975959028,0.05627356752310009,-0.14703531955342952,-0.3607345282093535,-0.054666267261195944,-0.46279111273705276
2019-07-01,0.052468860254638816,-0.44663611809870085,0.2171245184524011,-0.23825057227567492,-0.03264301414523629,0.24978101012475262,-0.07757194494402064,0.09992135688534587
2019-10-01,-0.5077487344899553,-0.1685849144294984,-0.23723099231362,0.07405684392552292,0.11257692846212386,0.1018748994285652,-0.012204020068947052,0.033099718429097535
2020-01-01,0.6557575866360952,0.36889506816064266,0.1458491481211115,0.3298350656240925,0.4714538078869879,-0.03160678531692307,0.09431732534696291,0.14107213777082694
