sector,quarter,z_hat,nll,success,n_obs_cells,n_total,z_std
INDUSTRIE,2012-01-01,-0.19977961626844976,0.7152989175043983,True,6,76,-0.09481310456657922
INDUSTRIE,2012-04-01,0.19167724604114303,6.842044983487141,True,7,179,0.3856981653603167
INDUSTRIE,2012-07-01,0.592809148167482,125.91021843813365,True,12,466,0.8780854965255036
INDUSTRIE,2012-10-01,0.7752963080337635,77.4324410674589,True,14,483,1.102087539599537
INDUSTRIE,2013-01-01,-0.4785030038552241,69.9000118485217,True,13,500,-0.43694461846433763
INDUSTRIE,2013-04-01,-1.027199472631525,58.58457461927569,True,13,502,-1.1104666905019613
INDUSTRIE,2013-07-01,-0.5458889454990694,114.0113906231384,True,13,495,-0.5196605126332731
INDUSTRIE,2013-10-01,-1.622484628483622,99.6277011169458,True,14,505,-1.8411761344991364
INDUSTRIE,2014-01-01,-1.1703428487127052,85.28625003483546,True,15,507,-1.286174442862152
INDUSTRIE,2014-04-01,-1.238467833754434,75.50765404524316,True,14,511,-1.369797508972212
INDUSTRIE,2014-07-01,-0.530508316424919,44.94470481237743,True,11,516,-0.5007808701482998
INDUSTRIE,2014-10-01,-0.17318818686742565,72.18316886399249,True,14,552,-0.06217226277555674
INDUSTRIE,2015-01-01,0.04077701272953231,102.55466797610838,True,15,643,0.20046891094637487
INDUSTRIE,2015-04-01,-0.03382555084781906,65.82191108370243,True,14,650,0.10889465075112412
INDUSTRIE,2015-07-01,0.22255542370916648,83.48320047760008,True,15,659,0.42360096843483735
INDUSTRIE,2015-10-01,0.9494360193913431,105.76411824102138,True,15,651,1.3158431328862286
INDUSTRIE,2016-01-01,0.9763856904907584,109.39422980714617,True,15,653,1.3489237145055915
INDUSTRIE,2016-04-01,-0.019856229835287984,58.08383601519821,True,12,660,0.1260419199039615
INDUSTRIE,2016-07-01,-0.1406461251512319,127.8750493740868,True,17,751,-0.022227050654275975
INDUSTRIE,2016-10-01,-0.24448889969196755,68.8566235158923,True,13,866,-0.1496935182821663
INDUSTRIE,2017-01-01,-0.5616332671654709,78.5759325262128,True,12,872,-0.538986585890553
INDUSTRIE,2017-04-01,-0.4451455756427373,97.7714008123119,True,14,895,-0.3959985481941461
INDUSTRIE,2017-07-01,-0.22368543585974482,110.05162318143685,True,13,932,-0.12415737423318601
INDUSTRIE,2017-10-01,-0.6281688374141658,112.16881109516993,True,16,978,-0.6206586535786283
INDUSTRIE,2018-01-01,0.05361457006110362,116.61915724888037,True,17,1032,0.2162269460457164
INDUSTRIE,2018-04-01,-0.21149776525613112,60.636107851855904,True,12,1060,-0.10919707172465185
INDUSTRIE,2018-07-01,-0.14485104696483916,79.07898609798508,True,14,1069,-0.0273885703902661
INDUSTRIE,2018-10-01,-0.4052239446091154,66.98889042721409,True,12,1083,-0.34699495297719096
INDUSTRIE,2019-01-01,0.45260828657604696,73.73795751454767,True,12,1131,0.7059896654531497
INDUSTRIE,2019-04-01,0.1663994889458755,83.7807515252567,True,14,1146,0.3546698495170643
INDUSTRIE,2019-07-01,0.9691877366245834,150.64849630290976,True,14,1143,1.3400882634351858
INDUSTRIE,2019-10-01,0.9941320345291462,160.6251535310183,True,14,1210,1.3707072598498582
INDUSTRIE,2020-01-01,2.6128689296884517,414.8942504774463,True,17,1130,3.357698410244765
INDUSTRIE,2020-04-01,2.0011971390821794,350.1667414421345,True,14,1235,2.6068744570035807
INDUSTRIE,2020-07-01,0.6344014394142408,305.7498972625093,True,18,1540,0.9291398184966007
INDUSTRIE,2020-10-01,-0.06290904190557074,331.38673323604036,True,16,1617,0.07319481619051456
INDUSTRIE,2021-01-01,-0.4893955807314365,271.08351680005904,True,15,1672,-0.4503152001337573
INDUSTRIE,2021-04-01,-0.6603942477158391,196.28343047496193,True,16,1739,-0.6602151777294959
INDUSTRIE,2021-07-01,-1.3204629700732127,243.60686182332194,True,14,1743,-1.4704461138987117
INDUSTRIE,2021-10-01,-1.488292357707854,300.672408891333,True,18,1784,-1.676455817516056
INDUSTRIE,2022-01-01,-1.5663716890261221,354.1345349050543,True,17,1842,-1.7722977920964171
INDUSTRIE,2022-04-01,-0.7415285949049157,160.75600593850243,True,14,1937,-0.7598071684599583
INDUSTRIE,2022-07-01,-0.6926769854578884,144.60633776958113,True,15,1955,-0.6998420710163501
INDUSTRIE,2022-10-01,-0.266909974268829,159.11266415665898,True,15,1961,-0.17721527113761323
INDUSTRIE,2023-01-01,-0.061023166515482986,54.75065036165045,True,13,1951,0.0755097184591029
INDUSTRIE,2023-04-01,-0.019887556121712714,61.25663002215454,True,12,1940,0.12600346704971024
INDUSTRIE,2023-07-01,-0.02237292771627964,28.70852716161508,True,8,1926,0.12295268629675694
INDUSTRIE,2023-10-01,0.2572646516791621,63.52055898209181,True,8,1891,0.46620636590224573
INDUSTRIE,2024-01-01,0.33748952785683056,73.44277667917414,True,10,1875,0.56468198567915
INFO-COM,2011-04-01,-0.08296104128192816,0.04074859147582165,True,2,4,-0.39635087282600495
INFO-COM,2011-07-01,-0.030111725762691187,0.15312105675951754,True,3,16,-0.31468435253916854
INFO-COM,2011-10-01,-0.0427558051416545,0.19470326992198617,True,3,20,-0.3342228830757583
INFO-COM,2012-01-01,-0.010362807184011783,0.27578295382005513,True,4,28,-0.28416691926868953
INFO-COM,2012-04-01,-0.034408201280754454,0.5087730040663329,True,5,52,-0.32132357201837053
INFO-COM,2012-07-01,-0.10697375428947327,21.296740275296713,True,10,120,-0.43345702443280976
INFO-COM,2012-10-01,-0.12396690127884281,11.701661445541104,True,8,124,-0.459716043489346
INFO-COM,2013-01-01,-1.3291791220062459,25.121549375966094,True,11,123,-2.3220956657599725
INFO-COM,2013-04-01,-0.13584850507660629,32.51552406428497,True,10,126,-0.4780763425406555
INFO-COM,2013-07-01,-0.10671799596526836,32.01067493303985,True,12,134,-0.43306180848408843
INFO-COM,2013-10-01,1.0682554976936949,14.654643505240967,True,7,137,1.3825907825408075
INFO-COM,2014-01-01,-0.12315160893069314,11.841162903431908,True,8,138,-0.4584561957801428
INFO-COM,2014-04-01,0.9653820104148138,25.387598833401025,True,9,141,1.2236233549914326
INFO-COM,2014-07-01,-0.11112095491794324,10.771811091860618,True,8,146,-0.43986557373815016
INFO-COM,2014-10-01,-1.188154179746151,14.742171128339967,True,8,161,-2.1041738971451673
INFO-COM,2015-01-01,-0.4555411324603973,26.390787726792738,True,9,169,-0.9720881226986621
INFO-COM,2015-04-01,-0.8633801164035748,10.403599121832583,True,8,172,-1.6023099208189184
INFO-COM,2015-07-01,0.060921816655880895,42.23022122897461,True,11,173,-0.17401284968871417
INFO-COM,2015-10-01,-0.14324950856389293,11.687590003607177,True,8,178,-0.489512899390998
INFO-COM,2016-01-01,0.5227710568372012,32.25806989505263,True,12,170,0.5396694368680288
INFO-COM,2016-04-01,0.49860094255196313,43.29331602262272,True,12,168,0.5023200576146294
INFO-COM,2016-07-01,-0.5221475214027711,6.743257144617175,True,7,195,-1.075013051060607
INFO-COM,2016-10-01,0.6077961102370543,26.642707364657632,True,10,251,0.6710561952422404
INFO-COM,2017-01-01,1.1476644655953283,28.122712039241996,True,9,252,1.5052991662612165
INFO-COM,2017-04-01,0.6277372524917073,27.952396111184775,True,10,257,0.7018706662052473
INFO-COM,2017-07-01,0.3555068040586161,34.122716487648624,True,11,254,0.28120081984624906
INFO-COM,2017-10-01,-0.053782173514547255,36.2334030379833,True,12,290,-0.3512616115354903
INFO-COM,2018-01-01,0.35980060870685493,12.54962122004474,True,9,318,0.2878359121074813
INFO-COM,2018-04-01,-0.10292583729954752,13.226987208563463,True,9,326,-0.4272018952654911
INFO-COM,2018-07-01,-0.17598459061912594,19.282969285205063,True,9,332,-0.540097475870174
INFO-COM,2018-10-01,0.8061728327812234,26.14163414635298,True,10,363,0.9776020128544384
INFO-COM,2019-01-01,0.3711810912027025,14.8015052435756,True,9,376,0.3054218428899305
INFO-COM,2019-04-01,0.9218097472527547,29.62544761444671,True,11,374,1.156292395668555
INFO-COM,2019-07-01,0.8871148931573646,40.86320558097353,True,10,376,1.10267944007978
INFO-COM,2019-10-01,1.1162044977256402,51.09717681787184,True,13,390,1.4566849868908534
