sector,year_quarter,z_t
extraction_primaire,2012-01-01,2.992644572624226
extraction_primaire,2012-04-01,2.4163689605548564
extraction_primaire,2012-07-01,2.4951783064605015
extraction_primaire,2012-10-01,1.4048431521337639
extraction_primaire,2013-01-01,1.1134120802813885
extraction_primaire,2013-04-01,1.4048431521337639
extraction_primaire,2013-07-01,-0.8807523909101025
extraction_primaire,2013-10-01,-0.835705228085549
extraction_primaire,2014-01-01,-1.1795653064274734
extraction_primaire,2014-04-01,-1.1795653064274734
extraction_primaire,2014-07-01,-0.6409810808741025
extraction_primaire,2014-10-01,-0.5075450656883561
extraction_primaire,2015-01-01,-0.5075450656883561
extraction_primaire,2015-04-01,-0.8159405779270883
extraction_primaire,2015-07-01,-1.0634507941743638
extraction_primaire,2015-10-01,-1.0634507941743638
extraction_primaire,2016-01-01,-1.0634507941743638
extraction_primaire,2016-04-01,1.0285059134216639
extraction_primaire,2016-07-01,1.0285059134216639
extraction_primaire,2016-10-01,3.51505768438037
extraction_primaire,2017-01-01,2.4409882054679133
extraction_primaire,2017-04-01,2.4409882054679133
extraction_primaire,2017-07-01,2.4409882054679133
extraction_primaire,2017-10-01,1.5070553125989514
extraction_primaire,2018-01-01,1.5070553125989514
extraction_primaire,2018-04-01,1.0923874449504731
extraction_primaire,2018-07-01,1.5070553125989514
extraction_primaire,2018-10-01,1.5070553125989514
extraction_primaire,2019-01-01,1.3510557066791637
extraction_primaire,2019-04-01,-2.1643263387414367
extraction_primaire,2019-07-01,-1.4087155364339567
extraction_primaire,2019-10-01,-1.4523890772069874
extraction_primaire,2020-01-01,-1.0223304783510507
extraction_primaire,2020-04-01,-0.5075450656883561
extraction_primaire,2020-07-01,-0.5075450792212951
extraction_primaire,2020-10-01,-0.5075450792212951
extraction_primaire,2021-01-01,-1.414360907578536
extraction_primaire,2021-04-01,-0.5075450792212951
extraction_primaire,2021-07-01,1.0285057996872409
extraction_primaire,2021-10-01,2.4409882359160795
extraction_primaire,2022-01-01,1.5070538209299413
extraction_primaire,2022-04-01,5.0
extraction_primaire,2022-07-01,4.604789066711448
extraction_primaire,2022-10-01,4.604789066711448
extraction_primaire,2023-01-01,-2.9673661995425937
finance,2010-07-01,-2.0866236260424755
finance,2010-10-01,-1.135393645008306
finance,2011-01-01,-1.4505944865190157
finance,2011-04-01,-1.4505944865190157
finance,2011-07-01,-1.4505944865190157
finance,2011-10-01,-1.4505944865190157
finance,2012-01-01,-1.4505944865190157
finance,2012-04-01,-1.4505943994411568
finance,2012-07-01,-1.4505943994411568
finance,2012-10-01,-1.4505943994411568
finance,2013-01-01,-1.4505944865190157
finance,2013-04-01,-1.4505944865190157
finance,2013-07-01,-1.4505944865190157
finance,2013-10-01,-1.691325547535945
finance,2014-01-01,-1.691325547535945
finance,2014-04-01,-1.691325547535945
finance,2014-07-01,-1.8140568699969701
finance,2014-10-01,-0.7166334290792198
finance,2015-01-01,-0.7166334290792198
finance,2015-04-01,-0.05513758744424774
finance,2015-07-01,-1.396550339079085
finance,2015-10-01,-1.396550339079085
finance,2016-01-01,-1.396550339079085
finance,2016-04-01,-1.396550339079085
finance,2016-07-01,-1.414288661416874
finance,2016-10-01,-1.414288661416874
finance,2017-01-01,-1.414288661416874
finance,2017-04-01,2.7945541207044347
finance,2017-07-01,2.7945541207044347
finance,2017-10-01,2.7945541207044347
